p p_est sigG sigG_est
0.05 0.1366 1e-05 0.0002242
0.005 0.1208 1e-05 0.0002508
0.05 0.1236 1e-05 0.0002494
0.005 0.1158 1e-05 0.0002608
0.05 0.1258 1e-05 0.0002442
0.005 0.1157 1e-05 0.0002601
0.05 0.1158 1e-05 0.0002643
0.005 0.1188 1e-05 0.0002533
0.05 0.1171 1e-05 0.0002572
0.005 0.1226 1e-05 0.0002526
0.05 0.1293 1e-05 0.0002417
0.005 0.1237 1e-05 0.0002444
0.05 0.1316 1e-05 0.0002326
0.005 0.1153 1e-05 0.0002651
0.05 0.1214 1e-05 0.000256
0.005 0.1222 1e-05 0.0002429
0.05 0.1214 1e-05 0.0002488
0.005 0.1203 1e-05 0.0002497
0.05 0.1196 1e-05 0.0002581
0.005 0.1340 1e-05 0.0002315
0.05 0.1262 1e-05 0.0002459
0.005 0.1039 1e-05 0.0002866
0.05 0.1077 1e-05 0.0002814
0.005 0.1224 1e-05 0.0002456
0.05 0.1341 1e-05 0.0002282
0.005 0.1121 1e-05 0.0002688
0.05 0.1285 1e-05 0.0002423
0.005 0.1164 1e-05 0.000261
0.05 0.1235 1e-05 0.00025
0.005 0.1250 1e-05 0.0002397
0.05 0.1378 1e-05 0.0002217
0.005 0.1156 1e-05 0.0002597
0.05 0.1267 1e-05 0.000243
0.005 0.1124 1e-05 0.0002688
0.05 0.1165 1e-05 0.0002627
0.005 0.1140 1e-05 0.0002651
0.05 0.1183 1e-05 0.0002605
0.005 0.1249 1e-05 0.0002443
0.05 0.1374 1e-05 0.000225
0.005 0.1111 1e-05 0.000276
0.05 0.1097 1e-05 0.0002809
0.005 0.1198 1e-05 0.0002514
0.05 0.1368 1e-05 0.0002244
0.005 0.1340 1e-05 0.0002258
0.05 0.1371 1e-05 0.0002247
0.005 0.1215 1e-05 0.0002521
0.05 0.1192 1e-05 0.0002562
0.005 0.1346 1e-05 0.0002275
0.05 0.1405 1e-05 0.0002227
0.005 0.1156 1e-05 0.0002594
0.05 0.1299 1e-05 0.0002374
0.005 0.1236 1e-05 0.0002468
0.05 0.1331 1e-05 0.0002331
0.005 0.1243 1e-05 0.0002443
0.05 0.1268 1e-05 0.0002434
0.005 0.1176 1e-05 0.0002606
0.05 0.1271 1e-05 0.0002417
0.005 0.1147 1e-05 0.000263
0.05 0.1185 1e-05 0.0002594
0.005 0.1039 1e-05 0.0002958
0.05 0.1229 1e-05 0.0002519
0.005 0.1195 1e-05 0.0002531
0.05 0.1275 1e-05 0.0002417
0.005 0.1167 1e-05 0.0002551
0.05 0.1331 1e-05 0.0002282
0.005 0.1186 1e-05 0.000256
0.05 0.1273 1e-05 0.0002409
0.005 0.1260 1e-05 0.0002403
0.05 0.1186 1e-05 0.0002562
0.005 0.1116 1e-05 0.0002657
0.05 0.1172 1e-05 0.0002583
0.005 0.1058 1e-05 0.0002865
0.05 0.1065 1e-05 0.0002963
0.005 0.1223 1e-05 0.0002503
0.05 0.1413 1e-05 0.0002204
0.005 0.1190 1e-05 0.0002537
0.05 0.1203 1e-05 0.0002538
0.005 0.1140 1e-05 0.0002667
0.05 0.1147 1e-05 0.0002664
0.005 0.1159 1e-05 0.0002595
0.05 0.1277 1e-05 0.00024
0.005 0.0950 1e-05 0.0003163
0.05 0.1065 1e-05 0.000285
0.005 0.1081 1e-05 0.0002754
0.05 0.1133 1e-05 0.0002672
0.005 0.1227 1e-05 0.0002476
0.05 0.1317 1e-05 0.0002342
0.005 0.1185 1e-05 0.0002521
0.05 0.1261 1e-05 0.0002431
0.005 0.1169 1e-05 0.0002619
0.05 0.1253 1e-05 0.0002449
0.005 0.1217 1e-05 0.0002484
0.05 0.1184 1e-05 0.0002585
0.005 0.0961 1e-05 0.0003115
0.05 0.1026 1e-05 0.0002996
0.005 0.1123 1e-05 0.0002659
0.05 0.1241 1e-05 0.0002457
0.005 0.1103 1e-05 0.0002733
0.05 0.1234 1e-05 0.0002488
0.005 0.1238 1e-05 0.0002424
0.05 0.1368 1e-05 0.0002235
0.005 0.1228 1e-05 0.0002461
0.05 0.1276 1e-05 0.0002401
0.005 0.1214 1e-05 0.0002477
0.05 0.1244 1e-05 0.0002481
0.005 0.1253 1e-05 0.0002426
0.05 0.1332 1e-05 0.000232
0.005 0.1164 1e-05 0.000256
0.05 0.1305 1e-05 0.0002349
0.005 0.1112 1e-05 0.0002724
0.05 0.1275 1e-05 0.0002417
0.005 0.1168 1e-05 0.0002584
0.05 0.1131 1e-05 0.0002691
0.005 0.1138 1e-05 0.0002644
0.05 0.1389 1e-05 0.0002228
0.005 0.1010 1e-05 0.0002947
0.05 0.1037 1e-05 0.0002926
0.005 0.1264 1e-05 0.0002409
0.05 0.1221 1e-05 0.0002529
0.005 0.1295 1e-05 0.0002357
0.05 0.1280 1e-05 0.0002409
0.005 0.1206 1e-05 0.0002484
0.05 0.1119 1e-05 0.0002704
0.005 0.1086 1e-05 0.00028
0.05 0.1195 1e-05 0.0002574
0.005 0.1072 1e-05 0.00028
0.05 0.1167 1e-05 0.0002606
0.005 0.1265 1e-05 0.0002393
0.05 0.1433 1e-05 0.0002165
0.005 0.1059 1e-05 0.0002814
0.05 0.1264 1e-05 0.0002414
0.005 0.1263 1e-05 0.0002374
0.05 0.1325 1e-05 0.0002288
0.005 0.1256 1e-05 0.0002436
0.05 0.1229 1e-05 0.0002513
0.005 0.1106 1e-05 0.0002722
0.05 0.1214 1e-05 0.0002504
0.005 0.1129 1e-05 0.0002664
0.05 0.1332 1e-05 0.0002321
0.005 0.1108 1e-05 0.0002733
0.05 0.1262 1e-05 0.0002437
0.005 0.1156 1e-05 0.0002602
0.05 0.1256 1e-05 0.0002438
0.005 0.1121 1e-05 0.0002688
0.05 0.1213 1e-05 0.0002515
0.005 0.1118 1e-05 0.00027
0.05 0.1170 1e-05 0.0002616
0.005 0.1215 1e-05 0.0002502
0.05 0.1350 1e-05 0.0002278
0.005 0.1178 1e-05 0.0002562
0.05 0.1223 1e-05 0.0002504
0.005 0.1292 1e-05 0.0002343
0.05 0.1394 1e-05 0.0002222
0.005 0.1289 1e-05 0.0002365
0.05 0.1282 1e-05 0.0002392
0.005 0.1199 1e-05 0.0002499
0.05 0.1314 1e-05 0.0002321
0.005 0.1084 1e-05 0.000279
0.05 0.1042 1e-05 0.0002906
0.005 0.1086 1e-05 0.0002747
0.05 0.1272 1e-05 0.0002391
0.005 0.1218 1e-05 0.0002486
0.05 0.1323 1e-05 0.000234
0.005 0.1063 1e-05 0.0002806
0.05 0.1277 1e-05 0.0002383
0.005 0.1141 1e-05 0.0002639
0.05 0.1254 1e-05 0.0002441
0.005 0.1190 1e-05 0.0002524
0.05 0.1208 1e-05 0.0002501
0.005 0.1192 1e-05 0.0002533
0.05 0.1301 1e-05 0.0002353
0.005 0.1231 1e-05 0.0002484
0.05 0.1366 1e-05 0.0002284
0.005 0.1150 1e-05 0.000262
0.05 0.1343 1e-05 0.0002307
0.005 0.1094 1e-05 0.0002793
0.05 0.1256 1e-05 0.0002439
0.005 0.1238 1e-05 0.0002444
0.05 0.1224 1e-05 0.0002499
0.005 0.1159 1e-05 0.0002646
0.05 0.1090 1e-05 0.0002826
