p p_est sigG sigG_est
0.01 0.1116 0.0001 0.0002747
0.01 0.0796 0.001 0.0004706
0.01 0.1280 0.0001 0.0002427
0.01 0.0975 0.001 0.0003807
0.01 0.1305 0.0001 0.0002395
0.01 0.0893 0.001 0.0004442
0.01 0.1362 0.0001 0.0002276
0.01 0.0980 0.001 0.0003736
0.01 0.1260 0.0001 0.0002453
0.01 0.0801 0.001 0.0004666
0.01 0.1244 0.0001 0.0002492
0.01 0.0972 0.001 0.0003682
0.01 0.1209 0.0001 0.0002597
0.01 0.0791 0.001 0.000516
0.01 0.1189 0.0001 0.0002615
0.01 0.0850 0.001 0.0004433
0.01 0.1283 0.0001 0.0002422
0.01 0.0882 0.001 0.0004287
0.01 0.1124 0.0001 0.0002764
0.01 0.0830 0.001 0.0004681
0.01 0.1179 0.0001 0.0002577
0.01 0.0984 0.001 0.0003631
0.01 0.1147 0.0001 0.0002664
0.01 0.0754 0.001 0.0004806
0.01 0.1372 0.0001 0.0002242
0.01 0.0884 0.001 0.000413
0.01 0.1314 0.0001 0.0002371
0.01 0.0978 0.001 0.0003781
0.01 0.1243 0.0001 0.0002476
0.01 0.0942 0.001 0.0003759
0.01 0.1206 0.0001 0.0002572
0.01 0.0807 0.001 0.0004741
0.01 0.1122 0.0001 0.0002746
0.01 0.0907 0.001 0.0004125
0.01 0.1217 0.0001 0.0002556
0.01 0.0797 0.001 0.0004794
0.01 0.1190 1e-05 0.0002536
0.01 0.1053 1e-05 0.0002857
0.01 0.1069 1e-05 0.0002807
0.01 0.1342 1e-05 0.0002275
0.01 0.1237 1e-05 0.0002461
0.01 0.1147 1e-05 0.0002629
0.01 0.1148 1e-05 0.0002636
0.01 0.1057 1e-05 0.0002876
0.01 0.1196 1e-05 0.0002487
0.01 0.1278 1e-05 0.0002379
0.01 0.1185 1e-05 0.0002566
0.01 0.1112 1e-05 0.0002716
0.01 0.1139 1e-05 0.0002649
0.01 0.1234 1e-05 0.0002449
0.01 0.1244 1e-05 0.0002487
0.01 0.1185 1e-05 0.0002525
0.01 0.1184 1e-05 0.0002594
0.01 0.1287 1e-05 0.0002342
0.01 0.1298 1e-05 0.0002327
0.01 0.1194 1e-05 0.0002621
0.01 0.1056 1e-05 0.000282
0.01 0.1286 1e-05 0.0002353
0.01 0.1111 1e-05 0.0002713
0.01 0.1084 1e-05 0.0002824
0.01 0.1350 1e-05 0.0002243
0.01 0.1288 1e-05 0.0002346
0.01 0.1108 1e-05 0.0002724
0.01 0.1203 1e-05 0.0002548
0.01 0.1274 1e-05 0.0002372
0.01 0.1070 1e-05 0.0002808
0.01 0.1234 1e-05 0.0002456
0.01 0.1268 1e-05 0.00024
0.01 0.1139 1e-05 0.000265
0.01 0.1339 1e-05 0.0002304
0.01 0.1221 1e-05 0.0002477
0.01 0.1240 1e-05 0.0002445
0.01 0.1060 1e-05 0.0002842
0.01 0.1261 1e-05 0.0002417
0.01 0.1077 1e-05 0.0002854
0.01 0.1105 1e-05 0.000273
0.01 0.1156 1e-05 0.000261
0.01 0.1279 1e-05 0.0002369
0.01 0.1164 1e-05 0.000259
0.01 0.1196 1e-05 0.0002517
0.01 0.1172 1e-05 0.0002552
0.01 0.1251 1e-05 0.0002472
0.01 0.1341 1e-05 0.0002322
0.01 0.1220 1e-05 0.0002474
0.01 0.0895 1e-05 0.0003396
0.01 0.1174 1e-05 0.0002576
0.01 0.1067 1e-05 0.0002845
0.01 0.1107 1e-05 0.00027
0.01 0.1190 1e-05 0.0002558
0.01 0.1157 1e-05 0.0002592
0.01 0.1227 1e-05 0.0002478
0.01 0.1055 1e-05 0.0002842
0.01 0.1085 1e-05 0.0002803
0.01 0.1130 1e-05 0.000265
0.01 0.1205 1e-05 0.0002511
0.01 0.1291 1e-05 0.0002345
0.01 0.1199 1e-05 0.0002492
0.01 0.1164 1e-05 0.0002602
0.01 0.1246 1e-05 0.0002449
0.01 0.1229 1e-05 0.0002456
0.01 0.1174 1e-05 0.0002581
0.01 0.1186 1e-05 0.0002555
0.01 0.1224 1e-05 0.0002456
0.01 0.1075 1e-05 0.0002815
0.01 0.1154 1e-05 0.0002676
0.01 0.1335 1e-05 0.0002294
0.01 0.1142 1e-05 0.0002634
0.01 0.1015 1e-05 0.0002943
0.01 0.1236 1e-05 0.0002453
0.01 0.1337 1e-05 0.0002278
0.01 0.1207 1e-05 0.0002488
0.01 0.1274 1e-05 0.0002379
0.01 0.1211 1e-05 0.0002552
0.01 0.1236 1e-05 0.0002443
0.01 0.1151 1e-05 0.0002646
0.01 0.1170 1e-05 0.0002588
0.01 0.1136 1e-05 0.0002674
0.01 0.1203 1e-05 0.0002541
0.01 0.1050 1e-05 0.0002866
0.01 0.1317 1e-05 0.0002288
0.01 0.1221 1e-05 0.0002452
0.01 0.1310 1e-05 0.0002327
0.01 0.1331 1e-05 0.0002285
0.01 0.1243 1e-05 0.0002427
0.01 0.1146 1e-05 0.0002642
0.01 0.1277 1e-05 0.0002385
0.01 0.1309 1e-05 0.0002316
