p p_est sigG sigG_est
0.01 0.0007908 0.0001 0.0001803
0.01 0.005652 0.001 0.0006364
0.01 0.001134 0.0001 0.0002475
0.01 0.003727 0.001 0.001046
0.01 0.001499 0.0001 0.0001258
0.01 0.005019 0.001 0.0005184
0.01 0.003604 0.0001 0.0001619
0.01 0.00682 0.001 0.0008494
0.01 0.0009235 0.0001 0.0001575
0.01 0.006261 0.001 0.0005472
0.01 0.002748 0.0001 0.0001222
0.01 0.007335 0.001 0.0006334
0.01 0.001678 0.0001 0.0002456
0.01 0.005975 0.001 0.0006805
0.01 0.002735 0.0001 0.0001215
0.01 0.008071 0.001 0.0005618
0.01 0.002693 0.0001 0.0001369
0.01 0.00779 0.001 0.0006336
0.01 0.00798 0.0001 8.448e-05
0.01 0.008804 0.001 0.0007089
0.01 0.003644 0.0001 0.0001448
0.01 0.004802 0.001 0.001073
0.01 0.003395 0.0001 0.0001005
0.01 0.007562 0.001 0.0005557
0.01 0.006666 0.0001 6.608e-05
0.01 0.007567 0.001 0.0005378
0.01 0.003532 0.0001 5.644e-05
0.01 0.005415 0.001 0.000412
0.01 0.0009328 0.0001 0.000131
0.01 0.005486 0.001 0.0004247
0.01 0.001156 0.0001 0.000122
0.01 0.004312 0.001 0.0006026
0.01 0.003482 0.0001 0.0001542
0.01 0.007242 0.001 0.0008231
0.01 0.00158 0.0001 0.0002233
0.01 0.005404 0.001 0.0008419
0.01 0.00439 0.0001 0.0001502
0.01 0.008385 0.001 0.0008351
0.01 0.009259 1e-05 7.947e-06
0.01 0.01863 1e-05 2.778e-06
0.01 0.002698 1e-05 1.171e-05
0.01 0.005007 1e-05 1.117e-06
0.01 0.004811 1e-05 1e-12
0.01 0.004417 1e-05 1.015e-05
0.01 0.001027 1e-05 5.439e-05
0.01 0.01217 1e-05 1.578e-06
0.01 0.01944 1e-05 5.668e-06
0.01 0.02118 1e-05 2.897e-06
0.01 0.004808 1e-05 1e-12
0.01 0.0102 1e-05 2.494e-06
0.01 0.004809 1e-05 1e-12
0.01 0.004816 1e-05 1e-12
0.01 0.00486 1e-05 1e-12
0.01 0.004854 1e-05 1e-12
0.01 0.004839 1e-05 1e-12
0.01 0.00481 1e-05 1e-12
0.01 0.0005921 1e-05 3.971e-05
0.01 0.00485 1e-05 1e-12
0.01 0.004795 1e-05 1e-12
0.01 0.008719 1e-05 6.844e-06
0.01 0.002307 1e-05 1.816e-05
0.01 0.004821 1e-05 1e-12
0.01 0.00786 1e-05 1.307e-05
0.01 0.001788 1e-05 5.015e-05
0.01 0.02329 1e-05 1.044e-05
0.01 0.005002 1e-05 3.691e-07
0.01 0.005008 1e-05 2.06e-06
0.01 0.001221 1e-05 6.38e-05
0.01 0.004834 1e-05 1e-12
0.01 0.0183 1e-05 2.937e-06
0.01 0.004842 1e-05 1e-12
0.01 0.005001 1e-05 2.097e-07
0.01 0.017 1e-05 9.199e-06
0.01 0.004831 1e-05 1e-12
0.01 0.01784 1e-05 2.672e-06
0.01 0.004824 1e-05 1e-12
0.01 0.01853 1e-05 3.854e-06
0.01 0.004794 1e-05 2.186e-05
0.01 0.004845 1e-05 1e-12
0.01 0.003125 1e-05 1.25e-05
0.01 0.005608 1e-05 1.273e-05
0.01 0.01639 1e-05 2.474e-06
0.01 0.0004324 1e-05 7.365e-05
0.01 0.004844 1e-05 1e-12
0.01 0.004868 1e-05 1e-12
0.01 0.004831 1e-05 1e-12
0.01 0.004828 1e-05 1e-12
0.01 0.0008806 1e-05 6.439e-05
0.01 0.004839 1e-05 1e-12
0.01 0.004852 1e-05 1e-12
0.01 0.008569 1e-05 2.409e-06
0.01 0.01103 1e-05 4.258e-06
0.01 0.004977 1e-05 3.123e-06
0.01 0.001272 1e-05 1.922e-05
0.01 0.004831 1e-05 1e-12
0.01 0.003811 1e-05 2.807e-05
0.01 0.004998 1e-05 1.44e-06
0.01 0.008513 1e-05 1.873e-06
0.01 0.004854 1e-05 1e-12
0.01 0.004856 1e-05 1e-12
0.01 0.00485 1e-05 1e-12
0.01 0.005012 1e-05 3.45e-06
0.01 0.006019 1e-05 2.101e-05
0.01 0.004846 1e-05 1e-12
0.01 0.02161 1e-05 4.599e-06
0.01 0.008126 1e-05 1.375e-05
0.01 0.001002 1e-05 6.457e-05
0.01 0.01925 1e-05 5.44e-06
0.01 0.001981 1e-05 3.591e-05
0.01 0.00429 1e-05 2.28e-05
0.01 0.02006 1e-05 6.47e-06
0.01 0.004875 1e-05 1e-12
0.01 0.007447 1e-05 1.608e-05
0.01 0.005001 1e-05 5.484e-07
0.01 0.004839 1e-05 1e-12
0.01 0.01943 1e-05 3.542e-06
0.01 0.004994 1e-05 1.692e-06
0.01 0.01783 1e-05 2.765e-06
0.01 0.02731 1e-05 8.926e-06
0.01 0.004821 1e-05 1e-12
0.01 0.004848 1e-05 1e-12
0.01 0.004834 1e-05 1e-12
0.01 0.00485 1e-05 1e-12
0.01 0.004831 1e-05 1e-12
0.01 0.004855 1e-05 1e-12
0.01 0.01777 1e-05 4.183e-06
0.01 0.004815 1e-05 1e-12
0.01 0.004857 1e-05 1e-12
