p p_est sigG sigG_est
0.005 0.006463 0.001 0.0005169
0.05 0.01291 0.0001 0.0001905
0.05 0.01642 0.001 0.001579
0.005 0.01389 1e-05 5.603e-06
0.05 0.004852 1e-05 2.158e-05
0.005 0.01595 1e-05 2.301e-06
0.05 0.00538 1e-05 2.44e-05
0.005 0.001173 1e-05 1.729e-05
0.05 0.0137 1e-05 9.045e-06
0.005 0.004857 1e-05 1e-12
0.05 0.005006 1e-05 6.175e-07
0.005 0.004801 1e-05 1e-12
0.05 0.004892 1e-05 1e-12
0.005 0.00272 1e-05 1.339e-05
0.05 0.01637 1e-05 1.148e-05
0.005 0.004998 1e-05 2.87e-06
0.05 0.004654 1e-05 3.157e-05
0.005 0.005006 1e-05 1.128e-06
0.05 0.004934 1e-05 1e-12
0.005 0.01731 1e-05 3.643e-06
0.05 0.007294 1e-05 1.685e-05
0.005 0.01487 1e-05 2.168e-06
0.05 0.006034 1e-05 5.093e-05
0.005 0.004795 1e-05 1e-12
0.05 0.004862 1e-05 1e-12
0.005 0.01188 1e-05 2.43e-06
0.05 0.02011 1e-05 6.6e-06
0.005 0.004799 1e-05 1e-12
0.05 0.0049 1e-05 1e-12
0.005 0.004821 1e-05 1e-12
0.05 0.005027 1e-05 4.415e-06
0.005 0.004851 1e-05 1e-12
0.05 0.01655 1e-05 7.847e-06
0.005 0.004848 1e-05 1e-12
0.05 0.005439 1e-05 2.877e-05
0.005 0.004838 1e-05 1e-12
0.05 0.002507 1e-05 5.273e-05
0.005 0.004812 1e-05 1e-12
0.05 0.005033 1e-05 3.853e-06
0.005 0.004824 1e-05 1e-12
0.05 0.009617 1e-05 2.243e-05
0.005 0.004848 1e-05 1e-12
0.05 0.005039 1e-05 2.587e-06
0.005 0.004788 1e-05 1e-12
0.05 0.004879 1e-05 1e-12
0.005 0.008975 1e-05 4.021e-06
0.05 0.0225 1e-05 1.087e-05
0.005 0.0008534 1e-05 3.452e-05
0.05 0.0149 1e-05 1.541e-05
0.005 0.004826 1e-05 1e-12
0.05 0.002546 1e-05 3.347e-05
0.005 0.004105 1e-05 1.666e-05
0.05 0.02171 1e-05 1.149e-05
0.005 0.001671 1e-05 5.171e-05
0.05 0.003807 1e-05 5.986e-05
0.005 0.02158 1e-05 8.406e-06
0.05 0.02551 1e-05 1.558e-05
0.005 0.004857 1e-05 1e-12
0.05 0.005146 1e-05 1.996e-05
0.005 0.01308 1e-05 1.988e-06
0.05 0.005094 1e-05 1.845e-05
0.005 0.001112 1e-05 7.099e-05
0.05 0.003842 1e-05 3.107e-05
0.005 0.004827 1e-05 1e-12
0.05 0.004894 1e-05 1e-12
0.005 0.01955 1e-05 3.208e-06
0.05 0.009923 1e-05 1.222e-05
0.005 0.004833 1e-05 1e-12
0.05 0.004906 1e-05 1e-12
0.005 0.005005 1e-05 1.273e-06
0.05 0.01361 1e-05 7.294e-06
0.005 0.01611 1e-05 4.62e-06
0.05 0.01998 1e-05 1.169e-05
0.005 0.00482 1e-05 1e-12
0.05 0.01289 1e-05 5.906e-06
0.005 0.009382 1e-05 1.759e-06
0.05 0.01578 1e-05 3.375e-06
0.005 0.004835 1e-05 1e-12
0.05 0.00354 1e-05 3.942e-05
0.005 0.0186 1e-05 3.203e-06
0.05 0.01125 1e-05 1.087e-05
0.005 0.002369 1e-05 3.314e-05
0.05 0.0118 1e-05 1.341e-05
0.005 0.004836 1e-05 1e-12
0.05 0.01684 1e-05 2.8e-06
0.005 0.002208 1e-05 1.678e-05
0.05 0.01421 1e-05 6.053e-06
0.005 0.008686 1e-05 7.714e-06
0.05 0.003027 1e-05 9.145e-05
0.005 0.004996 1e-05 1.442e-06
0.05 0.02358 1e-05 5.872e-06
0.005 0.005001 1e-05 1.165e-06
0.05 0.012 1e-05 1.089e-05
0.005 0.004851 1e-05 1e-12
0.05 0.01148 1e-05 3.257e-06
0.005 0.004866 1e-05 1e-12
0.05 0.01934 1e-05 3.252e-06
0.005 0.004823 1e-05 1e-12
0.05 0.004898 1e-05 1e-12
0.005 0.004826 1e-05 1e-12
0.05 0.00505 1e-05 1.346e-05
0.005 0.001976 1e-05 2.115e-05
0.05 0.003247 1e-05 2.606e-05
0.005 0.004843 1e-05 1e-12
0.05 0.01745 1e-05 8.637e-06
0.005 0.004849 1e-05 1e-12
0.05 0.00687 1e-05 1.497e-05
0.005 0.005 1e-05 2.195e-07
0.05 0.004853 1e-05 1e-12
0.005 0.01184 1e-05 4.131e-06
0.05 0.004957 1e-05 2.074e-05
0.005 0.00499 1e-05 1.94e-06
0.05 0.0008244 1e-05 4.603e-05
0.005 0.001395 1e-05 2.199e-05
0.05 0.0006502 1e-05 5.202e-05
0.005 0.004822 1e-05 1e-12
0.05 0.004888 1e-05 1e-12
0.005 0.004199 1e-05 2.673e-05
0.05 0.01872 1e-05 9.262e-06
0.005 0.004999 1e-05 1.773e-07
0.05 0.008998 1e-05 1.12e-05
0.005 0.004999 1e-05 1.927e-06
0.05 0.01072 1e-05 2.56e-06
0.005 0.004839 1e-05 1e-12
0.05 0.008805 1e-05 7.802e-06
0.005 0.004836 1e-05 1e-12
0.05 0.004919 1e-05 1e-12
0.005 0.004821 1e-05 1e-12
0.05 0.004859 1e-05 1e-12
0.005 0.005002 1e-05 3.898e-06
0.05 0.002745 1e-05 5.008e-05
0.005 0.004996 1e-05 2.615e-06
0.05 0.005597 1e-05 2.38e-05
0.005 0.004826 1e-05 1e-12
0.05 0.01505 1e-05 3.343e-06
0.005 0.02381 1e-05 5.033e-06
0.05 0.02135 1e-05 9.348e-06
0.005 0.004965 1e-05 1.354e-05
0.05 0.005366 1e-05 3.41e-05
0.005 0.0009645 1e-05 5.658e-05
0.05 0.004639 1e-05 3.984e-05
0.005 0.01687 1e-05 3.559e-06
0.05 0.02201 1e-05 1.192e-05
0.005 0.01376 1e-05 4.832e-06
0.05 0.005288 1e-05 3.204e-05
0.005 0.005008 1e-05 2.567e-06
0.05 0.02011 1e-05 1.512e-05
0.005 0.01272 1e-05 3.247e-06
0.05 0.005167 1e-05 4.122e-05
0.005 0.004863 1e-05 1e-12
0.05 0.02202 1e-05 1.305e-05
0.005 0.009961 1e-05 7.223e-06
0.05 0.02302 1e-05 1.021e-05
0.005 0.004858 1e-05 1e-12
0.05 0.01786 1e-05 2.432e-06
0.005 0.004822 1e-05 1e-12
0.05 0.004786 1e-05 1e-12
0.005 0.01764 1e-05 2.388e-06
0.05 0.02265 1e-05 9.224e-06
0.005 0.004832 1e-05 1e-12
0.05 0.01746 1e-05 3.036e-06
0.005 0.01959 1e-05 3.074e-06
0.05 0.02028 1e-05 7.595e-06
0.005 0.02514 1e-05 9.164e-06
0.05 0.02622 1e-05 1.122e-05
0.005 0.004826 1e-05 1e-12
0.05 0.00486 1e-05 1e-12
0.005 0.004831 1e-05 1e-12
0.05 0.005115 1e-05 9.838e-06
0.005 0.004828 1e-05 1e-12
0.05 0.005161 1e-05 3.104e-05
0.005 0.004809 1e-05 1e-12
0.05 0.005427 1e-05 2.414e-05
0.005 0.004827 1e-05 1e-12
0.05 0.001594 1e-05 2.065e-05
0.005 0.004868 1e-05 1e-12
0.05 0.008957 1e-05 1.234e-05
0.005 0.004999 1e-05 2.11e-07
0.05 0.01991 1e-05 6.564e-06
0.005 0.004795 1e-05 1e-12
0.05 0.002665 1e-05 3.701e-05
0.005 0.004833 1e-05 1e-12
0.05 0.001678 1e-05 8.372e-05
0.005 0.005007 1e-05 1.985e-06
0.05 0.01463 1e-05 5.033e-06
0.005 0.02152 1e-05 5.675e-06
0.05 0.00639 1e-05 1.614e-05
0.005 0.0048 1e-05 1e-12
0.05 0.01458 1e-05 5.2e-06
0.005 0.005995 1e-05 2.219e-05
0.05 0.01746 1e-05 1.981e-05
0.005 0.02055 1e-05 2.91e-06
0.05 0.02432 1e-05 1.019e-05
0.005 0.005025 1e-05 1.299e-05
0.05 0.02243 1e-05 7.064e-06
0.005 0.005033 1e-05 3.356e-06
0.05 0.004941 1e-05 1e-12
0.005 0.0009078 1e-05 6.325e-05
0.05 0.0003934 1e-05 8.706e-05
0.005 0.002798 1e-05 2.413e-05
0.05 0.01566 1e-05 2.438e-05
0.005 0.01017 1e-05 5.604e-06
0.05 0.004817 1e-05 3.758e-05
