p p_est sigG sigG_est N ld varyH
0.01 0.0111 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0101 0.001 0.001 100000 0 0
0.01 0.0092 0.001 0.001 100000 0 0
0.01 0.0121 0.001 0.001 100000 0 0
0.01 0.0105 0.001 0.001 100000 0 0
0.01 0.0111 0.001 0.001 100000 0 0
0.01 0.0091 0.001 0.001 100000 0 0
0.01 0.0080 0.001 0.001 100000 0 0
0.01 0.0084 0.001 0.001 100000 0 0
0.01 0.0115 0.001 0.001 100000 0 0
0.01 0.0087 0.001 0.001 100000 0 0
0.01 0.0095 0.001 0.001 100000 0 0
0.01 0.0113 0.001 0.001 100000 0 0
0.01 0.0087 0.001 0.001 100000 0 0
0.01 0.0081 0.001 0.001 100000 0 0
0.01 0.0084 0.001 0.001 100000 0 0
0.01 0.0064 0.001 0.001 100000 0 0
0.01 0.0122 0.001 0.001 100000 0 0
0.01 0.0085 0.001 0.001 100000 0 0
0.01 0.0104 0.001 0.001 100000 0 0
0.01 0.0077 0.001 0.001 100000 0 0
0.01 0.0093 0.001 0.001 100000 0 0
0.01 0.0105 0.001 0.001 100000 0 0
0.01 0.0107 0.001 0.001 100000 0 0
0.01 0.0110 0.001 0.001 100000 0 0
0.01 0.0114 0.001 0.001 100000 0 0
0.01 0.0098 0.001 0.001 100000 0 0
0.01 0.0080 0.001 0.001 100000 0 0
0.01 0.0091 0.001 0.001 100000 0 0
0.01 0.0103 0.001 0.001 100000 0 0
0.01 0.0116 0.001 0.001 100000 0 0
0.01 0.0089 0.001 0.001 100000 0 0
0.01 0.0078 0.001 0.001 100000 0 0
0.01 0.0109 0.001 0.001 100000 0 0
0.01 0.0108 0.001 0.001 100000 0 0
0.01 0.0085 0.001 0.001 100000 0 0
0.01 0.0107 0.001 0.001 100000 0 0
0.01 0.0107 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0101 0.001 0.001 100000 0 0
0.01 0.0088 0.001 0.001 100000 0 0
0.01 0.0097 0.001 0.001 100000 0 0
0.01 0.0097 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0124 0.001 0.001 100000 0 0
0.01 0.0103 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0089 0.001 0.001 100000 0 0
0.01 0.0115 0.001 0.001 100000 0 0
0.01 0.0095 0.001 0.001 100000 0 0
0.01 0.0114 0.001 0.001 100000 0 0
0.01 0.0120 0.001 0.001 100000 0 0
0.01 0.0112 0.001 0.001 100000 0 0
0.01 0.0105 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0128 0.001 0.001 100000 0 0
0.01 0.0102 0.001 0.001 100000 0 0
0.01 0.0126 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0097 0.001 0.001 100000 0 0
0.01 0.0096 0.001 0.001 100000 0 0
0.01 0.0094 0.001 0.001 100000 0 0
0.01 0.0108 0.001 0.001 100000 0 0
0.01 0.0098 0.001 0.001 100000 0 0
0.01 0.0121 0.001 0.001 100000 0 0
0.01 0.0111 0.001 0.001 100000 0 0
0.01 0.0117 0.001 0.001 100000 0 0
0.05 0.0457 0.001 0.001 100000 0 0
0.05 0.0508 0.001 0.001 100000 0 0
0.05 0.0485 0.001 0.001 100000 0 0
0.05 0.0559 0.001 0.001 100000 0 0
0.05 0.0525 0.001 0.001 100000 0 0
0.05 0.0522 0.001 0.001 100000 0 0
0.05 0.0471 0.001 0.001 100000 0 0
0.05 0.0484 0.001 0.001 100000 0 0
0.05 0.0452 0.001 0.001 100000 0 0
0.05 0.0451 0.001 0.001 100000 0 0
0.05 0.0440 0.001 0.001 100000 0 0
0.05 0.0464 0.001 0.001 100000 0 0
0.05 0.0452 0.001 0.001 100000 0 0
0.05 0.0487 0.001 0.001 100000 0 0
0.05 0.0556 0.001 0.001 100000 0 0
0.05 0.0508 0.001 0.001 100000 0 0
0.05 0.0475 0.001 0.001 100000 0 0
0.05 0.0443 0.001 0.001 100000 0 0
0.05 0.0443 0.001 0.001 100000 0 0
0.05 0.0518 0.001 0.001 100000 0 0
0.05 0.0495 0.001 0.001 100000 0 0
0.05 0.0523 0.001 0.001 100000 0 0
0.05 0.0558 0.001 0.001 100000 0 0
0.05 0.0557 0.001 0.001 100000 0 0
0.05 0.0539 0.001 0.001 100000 0 0
0.05 0.0523 0.001 0.001 100000 0 0
0.05 0.0525 0.001 0.001 100000 0 0
0.05 0.0561 0.001 0.001 100000 0 0
0.05 0.0506 0.001 0.001 100000 0 0
0.05 0.0489 0.001 0.001 100000 0 0
0.05 0.0495 0.001 0.001 100000 0 0
0.05 0.0535 0.001 0.001 100000 0 0
0.05 0.0489 0.001 0.001 100000 0 0
0.05 0.0498 0.001 0.001 100000 0 0
0.05 0.001 100000 0 0
0.05 0.0475 0.001 0.001 100000 0 0
0.05 0.0551 0.001 0.001 100000 0 0
0.05 0.0502 0.001 0.001 100000 0 0
0.05 0.0506 0.001 0.001 100000 0 0
0.05 0.001 100000 0 0
0.05 0.0462 0.001 0.001 100000 0 0
0.05 0.0470 0.001 0.001 100000 0 0
0.05 0.0509 0.001 0.001 100000 0 0
0.05 0.001 100000 0 0
0.05 0.0488 0.001 0.001 100000 0 0
0.05 0.0454 0.001 0.001 100000 0 0
0.05 0.001 100000 0 0
0.05 0.0536 0.001 0.001 100000 0 0
0.05 0.0448 0.001 0.001 100000 0 0
0.05 0.0435 0.001 0.001 100000 0 0
0.05 0.0497 0.001 0.001 100000 0 0
0.05 0.0513 0.001 0.001 100000 0 0
0.05 0.0546 0.001 0.001 100000 0 0
0.05 0.0465 0.001 0.001 100000 0 0
0.05 0.0498 0.001 0.001 100000 0 0
0.05 0.0435 0.001 0.001 100000 0 0
0.05 0.0543 0.001 0.001 100000 0 0
0.05 0.0491 0.001 0.001 100000 0 0
